time_value,geo_value,smoothed_wspent_time_1d,smoothed_wtested_14d,smoothed_wpublic_transit_1d,smoothed_wworried_become_ill,smoothed_wvaccine_likely_govt_health,smoothed_wshop_1d,smoothed_wtested_positive_14d,smoothed_wwork_outside_home_1d,smoothed_wothers_masked,smoothed_wcli,smoothed_wcovid_vaccinated,smoothed_wvaccine_likely_friends,smoothed_wrestaurant_1d,smoothed_wvaccine_likely_politicians,smoothed_wvaccine_likely_who,smoothed_wwearing_mask,smoothed_wlarge_event_1d
2021-01-07,44000,37.3623956,23.9815733,2.050481,78.3187108,32.974394751934405,58.1464954,12.1298657,25.6396076,94.6309144,1.0612848140450895,,35.650618180655904,18.0156228,11.17653338373463,37.84799132411674,95.9277782,11.329429
2021-01-07,44007,25.2280514,22.767529,3.5019498,71.8971658,34.6984288,48.2978736,21.453603,26.1454345,91.2246912,0.8223024,2.5178152,33.3371306,7.5075464,11.4875727,40.6603218,95.7260729,3.9097726
2021-01-07,45000,31.1432361,17.6318066,1.7930697,64.8251225,23.4295177,49.279916,22.0144193,26.7839981,68.7449773,2.2683276,4.0388147,31.4879652,12.7162371,10.8862764,26.0254193,87.4701945,9.1209405
2021-01-07,45045,31.3233827,16.4988239,1.3732368,67.149249,29.435674,53.4224248,37.1206931,28.6538884,61.4790615,2.5622165,2.3307874,32.447182,17.4009196,11.7405436,34.7591482,88.5750355,8.7746379
2021-01-07,46000,38.8045616,11.3261587,2.6229065,60.895081,28.5866774,53.0463034,21.2260973,34.1610161,46.8565657,1.8778165,8.4651449,33.7291455,21.1478244,10.5859616,31.6371591,76.8012798,16.2203294
2021-01-07,47000,34.2859732,12.6831832,1.9180469,65.2941846,24.3507966,53.6968305,31.394126,29.8118239,44.703818,2.0063699,6.3591771,27.2094651,19.4338604,9.6547223,27.7546529,80.0525959,12.1075102
2021-01-07,47157,26.5303448,14.0010621,2.0948491,66.0578472,30.4375805,49.9413868,22.1105747,29.1525393,84.4774553,1.9512242,5.9235989,33.1241738,12.9050024,13.9834894,36.4837479,93.632559,7.4809345
2021-01-07,48000,34.2925624,13.5190234,1.7991352,63.0192336,24.984249,50.6009199,29.6863819,28.8258309,61.6754389,1.9197852,7.684247,30.8780652,17.4137224,10.3425497,28.5439538,82.6813353,13.0924661
2021-01-07,48029,29.7366882,16.9828547,2.6715716,72.1037934,39.5074634,47.7521663,27.4363083,28.8463437,89.0474356,1.7559779,8.4745891,41.1232536,15.9970855,15.6838028,44.0608741,96.425159,7.9798849
2021-01-07,48113,28.3451721,15.595018,2.3255951,74.8325913,37.8520141,49.9249586,32.9845164,28.0160401,88.5151448,1.4400883,3.8955683,39.176455,14.6119646,14.5523055,42.9976792,96.6414252,8.3491071
2021-01-07,48141,25.3242644,14.4617762,2.7580907,77.278555,47.1165998,49.2526121,15.2940178,24.0013703,94.2470771,0.7584125,6.347414,49.3663557,13.0259794,20.1714812,53.7228854,97.3448046,5.5359709
2021-01-07,48201,28.3770607,15.7293487,3.1141671,70.7558455,37.1894988,49.1778,20.3147982,27.7392824,84.2145556,1.3204365,6.3413304,38.8171912,15.1152491,16.6876053,42.3759957,94.412648,9.4080896
2021-01-07,48215,30.5149439,15.1035834,1.809325,78.8175716,49.3830107,49.7496378,29.2014316,29.1735767,91.7520078,1.7530045,11.7904711,50.07079,15.9257792,24.1641316,52.0815458,97.6676311,10.3564241
2021-01-07,48439,27.3856283,14.5752476,1.8989473,70.0655342,31.0089058,49.0493093,27.7408328,26.4231058,85.8122196,1.5278975,6.8075902,34.9608266,16.2850631,11.1905529,38.1237155,94.2321466,8.7774435
2021-01-07,48453,27.631284,13.3509693,2.4751811,72.6062114,40.6800834,45.8021954,15.2926335,24.2618057,87.5279164,0.7779074,4.8125552,36.0454727,14.0793464,14.4667787,47.0831514,95.681902,6.0153119
2021-01-07,49000,44.5608818,12.6709246,3.0700018,55.9473481,23.7177186,60.7783954,28.6060797,36.7235133,68.8107001,1.3817586,6.0323071,26.9636856,21.8145913,7.4819732,27.6973972,83.7248117,13.6551337
2021-01-07,49035,34.9366024,11.0517123,3.6701553,68.3775787,33.8831676,51.3521918,23.0616706,31.4544148,87.5192737,1.370238,5.3241973,36.1241437,13.8717592,12.0574793,40.7592951,94.6946332,8.073578
2021-01-07,50000,30.8802223,10.4045338,0.7505947,66.0456474,29.935738,53.0983647,1.9535009,25.8893408,90.8993998,0.0,6.4758226,30.2877213,8.5794169,7.6309675,36.358149,92.2446862,3.0273863
2021-01-07,51000,28.2508172,11.066647,1.261636,69.5277441,28.7414316,50.0897422,22.6547215,26.4544681,77.6866736,1.3654959,4.7411947,29.0205844,13.4426937,10.0763606,34.3370115,91.2527586,6.5524145
